"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-16",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",48.9175182481752,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-17",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",62.671473354232,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-18",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",33.7651632970451,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-19",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",58.4392523364486,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-20",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",52.2528571428571,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-21",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",53.6446715328467,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-22",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",65.2543946932007,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-23",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",63.8376893939394,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-24",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",53.5867724867725,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-25",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",57.9892543859649,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-26",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",46.3381625441696,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-02-27",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",46.406334841629,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-01",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",56.6337278106509,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-02",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",56.8050751879699,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-03",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",33.8260115606936,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-04",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",39.368544600939,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-05",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",39.7812727272727,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-06",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",46.3343689320388,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-07",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",42.7873857404022,NA
"SLSB_office","Freetown","OpenAQ","PM2.5","ug/m3","2021-03-08",8.4787,-13.2054,"2021-01-19 ~ 2021-03-08",38.403557312253,NA
